ID Clients;Numero de compte;Identifiant operation;Type de transaction;Status operation;Localisation;Date;Montant;Target
544;85254.0;TR107/0127;Paiement électronique;En attente;Kaolack;2025-02-01 09:00:00;105000.0;Fraude
1015;855101.0;TR205/00194;Paiement en ligne;Validé;Kaolack;2025-02-01 02:30:00;100000.0;Normal
1021;851101.0;TR207/000073;Paiement en ligne;Echoué;Kolda;2025-01-31 19:15:00;130000.0;Suspect
529;85259.0;TR111/0156;Paiement en ligne;Validé;Thiès;2025-01-31 17:00:00;1200000.0;Fraude
10280;8501208.0;TR213/00137;Paiement en ligne;Echoué;Ziguinchor;2025-01-31 15:45:00;115000.0;Suspect
10280;8501208.0;TR213/00161;Paiement en ligne;Echoué;Ziguinchor;2025-01-31 15:45:00;125000.0;Suspect
530;85053.0;TR111/0158;Paiement en ligne;Validé;Kaolack;2025-01-31 15:00:00;1250000.0;Fraude
1009;851900.0;TR204/00082;Paiement en ligne;Validé;Kaolack;2025-01-31 14:45:00;95000.0;Normal
1041;851041.0;TR219/087;ATM;En attente;Tivaouane;2025-01-31 14:30:00;5000.0;Normal
10290;8510092.0;TR213/00129;Paiement électronique;En attente;Kédougou;2025-01-31 13:30:00;180000.0;Suspect
10290;8510092.0;TR213/00153;Paiement électronique;En attente;Kédougou;2025-01-31 13:30:00;205000.0;Suspect
544;85254.0;TR107/0120;Paiement en ligne;Validé;Rufisque;2025-01-31 13:30:00;75000.0;Normal
529;85259.0;TR111/0152;Paiement en ligne;Validé;Thiès;2025-01-31 11:45:00;1100000.0;Fraude
1002;851020.0;TR201/00167;Paiement en ligne;Validé;Ziguinchor;2025-01-31 11:30:00;460000.0;Suspect
1003;851300.0;TR202/00060;Paiement en ligne;Echoué;Saint Louis;2025-01-31 10:18:00;450000.0;Normal
1016;851601.0;TR206/00147;Paiement électronique;En attente;Diourbel;2025-01-31 10:00:00;550000.0;Suspect
535;85355.0;TR103/0080;ATM;Validé;Dagana;2025-01-31 08:00:00;2500.0;Normal
532;85253.0;TR101/00140;ATM;Validé;Ziguinchor;2025-01-30 16:00:00;3000.0;Normal
532;85253.0;TR101/00116;ATM;Validé;Tambacounda;2025-01-30 16:00:00;3500.0;Normal
532;85253.0;TR101/00128;ATM;Validé;Thiès;2025-01-30 16:00:00;4000.0;Normal
531;85351.0;TR101/00127;Paiement en ligne;Validé;Dakar;2025-01-30 15:30:00;13000.0;Normal
531;85351.0;TR101/00139;Paiement en ligne;Validé;Diourbel;2025-01-30 15:30:00;12000.0;Normal
10300;8501030.0;TR213/00145;ATM;Echoué;Mbour;2025-01-30 14:50:00;11000.0;Suspect
10300;8501030.0;TR213/00133;ATM;Echoué;Mbour;2025-01-30 14:30:00;10000.0;Suspect
10300;8501030.0;TR213/00157;ATM;Echoué;Mbour;2025-01-30 14:30:00;12000.0;Suspect
1002;851020.0;TR201/00107;Paiement en ligne;Echoué;Tambacounda;2025-01-30 14:00:00;260000.0;Normal
1012;851021.0;TR204_1/51;ATM;Validé;Saint Louis;2025-01-30 13:30:00;19000.0;Normal
536;85653.0;TR103/0079;Paiement en ligne;En attente;Bounkiling;2025-01-30 11:20:00;60000.0;Normal
531;85351.0;TR101/00114;Paiement électronique;En attente;Thiès;2025-01-30 10:00:00;7000.0;Normal
1022;851202.0;TR208/6667;ATM;Validé;Gossas;2025-01-30 09:40:00;11000.0;Normal
1016;851601.0;TR206/00135;Paiement électronique;En attente;Diourbel;2025-01-30 09:30:00;500000.0;Suspect
10340;8501304.0;TR216/00235;Paiement électronique;Validé;Tambacounda;2025-01-30 09:00:00;1000000.0;Suspect
10290;8510092.0;TR213/00140;Paiement en ligne;Validé;Diourbel;2025-01-30 09:00:00;135000.0;Normal
10290;8510092.0;TR213/00164;Paiement en ligne;Validé;Diourbel;2025-01-30 09:00:00;145000.0;Normal
1002;851020.0;TR201/00166;ATM;En attente;Saint Louis;2025-01-30 09:00:00;28000.0;Suspect
1019;851901.0;TR207/000128;ATM;Validé;Dakar;2025-01-30 08:45:00;23000.0;Normal
1018;858101.0;TR206/00156;ATM;Echoué;Podor;2025-01-29 16:00:00;380000.0;Suspect
1004;851040.0;TR202/00095;ATM;Echoué;Kédougou;2025-01-29 14:30:00;13000.0;Normal
1038;851083.0;TR217/180;Paiement électronique;En attente;Ziguinchor;2025-01-29 12:00:00;880000.0;Normal
10270;8507102.0;TR211/00136;Paiement en ligne;Validé;Dakar;2025-01-29 11:00:00;100000.0;Normal
10280;8501208.0;TR213/00149;Paiement en ligne;En attente;Ziguinchor;2025-01-28 16:00:00;140000.0;Suspect
543;85453.0;TR107/0118;ATM;Echoué;Vélingara;2025-01-28 16:00:00;12000.0;Normal
1018;858101.0;TR206/00144;ATM;Echoué;Podor;2025-01-28 15:30:00;320000.0;Suspect
1036;851036.0;TR216/0133;ATM;Validé;Dakar;2025-01-28 15:15:00;12000.0;Suspect
1039;851039.0;TR217/103;Paiement en ligne;Echoué;Thiès;2025-01-28 14:30:00;55000.0;Normal
530;85053.0;TR111/0154;Paiement en ligne;Validé;Kaolack;2025-01-28 13:50:00;1150000.0;Fraude
10290;8510092.0;TR213/00128;Paiement en ligne;Validé;Diourbel;2025-01-28 11:45:00;120000.0;Normal
10290;8510092.0;TR213/00152;Paiement en ligne;Validé;Diourbel;2025-01-28 11:45:00;140000.0;Normal
1010;851001.0;TR204/00081;ATM;Validé;Diourbel;2025-01-28 11:30:00;3500.0;Normal
1006;851060.0;TR203/0168;Paiement électronique;Validé;Richard Toll;2025-01-28 11:15:00;350000.0;Normal
10340;8501304.0;TR216/00234;Paiement en ligne;Echoué;Thiès;2025-01-28 11:00:00;420000.0;Fraude
100300;85001030.0;TR214/00106;Paiement électronique;Validé;Tambacounda;2025-01-28 11:00:00;95000.0;Normal
543;85453.0;TR107/0130;Paiement électronique;Validé;Louga;2025-01-28 11:00:00;92000.0;Normal
10260;8510062.0;TR211/00132;Paiement électronique;Validé;Dakar;2025-01-27 21:00:00;200000.0;Normal
529;85259.0;TR111/0148;Paiement en ligne;Validé;Thiès;2025-01-27 16:45:00;1000000.0;Fraude
1042;852104.0;TR219/142;Paiement en ligne;Echoué;Podor;2025-01-27 14:00:00;7400.0;Suspect
1020;851002.0;TR207/000072;ATM;Validé;Tambacounda;2025-01-27 11:50:00;16000.0;Suspect
1017;851071.0;TR206/00152;ATM;Echoué;Kolda;2025-01-27 10:45:00;500000.0;Suspect
10220;8512020.0;TR209/00101;ATM;Validé;Kaolack;2025-01-26 17:00:00;12000.0;Suspect
1003;851300.0;TR202/00059;ATM;Validé;Ziguinchor;2025-01-26 15:51:00;9000.0;Normal
1034;851304.0;TR216/0125;ATM;Echoué;Dakar;2025-01-26 13:20:00;9000.0;Normal
10340;8501304.0;TR216/00233;ATM;Validé;Dakar;2025-01-26 13:00:00;68000.0;Normal
1040;851400.0;TR219/086;Paiement électronique;Validé;Hann;2025-01-26 12:15:00;2000.0;Normal
10300;8501030.0;TR213/00144;Paiement électronique;Validé;Fatick;2025-01-26 10:30:00;270000.0;Normal
1017;851071.0;TR206/00140;ATM;Echoué;Kolda;2025-01-26 09:45:00;480000.0;Suspect
552;85552.0;TR200/333333;Paiement électronique;En attente;Saint Louis;2025-01-25 19:15:00;140000.0;Suspect
544;85254.0;TR107/0133;ATM;Validé;Podor;2025-01-25 16:00:00;35000.0;Normal
535;85355.0;TR103/0078;Paiement électronique;Echoué;Podor;2025-01-25 15:45:00;1800000.0;Fraude
532;85253.0;TR101/00115;Paiement en ligne;Validé;Saint Louis;2025-01-25 15:30:00;12000.0;Normal
10290;8510092.0;TR213/00151;ATM;Echoué;Kaolack;2025-01-25 14:15:00;12000.0;Normal
1024;854101.0;TR208/5545;Paiement électronique;Echoué;Saint Louis;2025-01-25 14:15:00;650000.0;Suspect
100280;85001208.0;TR214/00100;Paiement électronique;Validé;Mbour;2025-01-25 14:00:00;65000.0;Normal
10230;8510320.0;TR209/00105;ATM;Validé;Ziguinchor;2025-01-25 12:45:00;6500.0;Suspect
531;85351.0;TR101/00137;ATM;Validé;Tambacounda;2025-01-25 11:45:00;2000.0;Normal
531;85351.0;TR101/00149;ATM;Validé;Thiès;2025-01-25 11:45:00;3500.0;Normal
531;85351.0;TR101/00113;ATM;Validé;Dakar;2025-01-25 11:45:00;4000.0;Normal
531;85351.0;TR101/00125;ATM;Validé;Diourbel;2025-01-25 11:45:00;3000.0;Normal
1021;851101.0;TR207/000127;Paiement en ligne;Validé;Kolda;2025-01-25 11:20:00;220000.0;Suspect
1002;851020.0;TR201/00106;ATM;Validé;Thiès;2025-01-25 11:15:00;16000.0;Normal
1011;851101.0;TR204_1/50;Paiement en ligne;Validé;Thiès;2025-01-25 11:00:00;350000.0;Normal
10280;8501208.0;TR213/00148;ATM;Validé;Saint Louis;2025-01-25 10:30:00;9000.0;Normal
531;85351.0;TR101/00086;Paiement électronique;Echoué;Kaolack;2025-01-25 10:15:00;7000.0;Normal
540;85054.0;TR105/0037;ATM;Validé;Ziguinchor;2025-01-25 10:00:00;13000.0;Normal
532;85253.0;TR101/00126;Paiement électronique;Echoué;Ziguinchor;2025-01-25 10:00:00;9000.0;Normal
532;85253.0;TR101/00138;Paiement électronique;Echoué;Kaolack;2025-01-25 10:00:00;8000.0;Normal
532;85253.0;TR101/00150;Paiement électronique;Echoué;Saint Louis;2025-01-25 10:00:00;6000.0;Normal
10300;8501030.0;TR213/00132;Paiement électronique;Validé;Fatick;2025-01-25 09:50:00;260000.0;Normal
10300;8501030.0;TR213/00156;Paiement électronique;Validé;Fatick;2025-01-25 09:50:00;280000.0;Normal
525;85255.0;TR010/0072;Paiement en ligne;Validé;Thiès;2025-01-25 09:25:00;500000.0;Normal
1037;851307.0;TR217/179;ATM;Validé;Saint Louis;2025-01-25 09:15:00;3400.0;Normal
10360;8501036.0;TR216/00115;Paiement électronique;Validé;Matam;2025-01-25 09:15:00;420000.0;Normal
527;85257.0;TR011/0088;ATM;Echoué;Saint Louis;2025-01-25 09:00:00;12000.0;Suspect
1015;855101.0;TR205/00193;ATM;Validé;Kaolack;2025-01-25 02:00:00;6000.0;Normal
530;85053.0;TR111/0150;Paiement en ligne;Validé;Kaolack;2025-01-24 14:45:00;1050000.0;Fraude
530;85053.0;TR111/0157;ATM;Validé;Tambacounda;2025-01-24 11:15:00;19000.0;Normal
1038;851083.0;TR217/102;ATM;En attente;Tambacounda;2025-01-24 10:00:00;3000.0;Normal
10240;8541010.0;TR209/00109;ATM;Echoué;Dakar;2025-01-24 10:00:00;2800.0;Suspect
10250;8512005.0;TR211/00128;ATM;Validé;Dakar;2025-01-24 09:20:00;3000.0;Normal
1035;851053.0;TR216/0129;Paiement en ligne;En attente;Saint Louis;2025-01-23 19:00:00;60000.0;Normal
1023;851032.0;TR208/4423;Paiement en ligne;Validé;Pikine;2025-01-23 18:50:00;25000.0;Normal
529;85259.0;TR111/0144;Paiement en ligne;Validé;Thiès;2025-01-23 17:30:00;900000.0;Normal
10360;8501036.0;TR216/00114;Paiement en ligne;En attente;Diourbel;2025-01-23 15:30:00;150000.0;Suspect
10290;8510092.0;TR213/00165;Paiement électronique;Echoué;Kédougou;2025-01-23 13:30:00;215000.0;Suspect
10290;8510092.0;TR213/00141;Paiement électronique;Echoué;Kédougou;2025-01-23 13:30:00;195000.0;Suspect
10360;8501036.0;TR216/00232;Paiement électronique;Validé;Matam;2025-01-23 10:30:00;800000.0;Normal
10280;8501208.0;TR213/00136;ATM;Validé;Saint Louis;2025-01-23 10:15:00;8000.0;Normal
10280;8501208.0;TR213/00160;ATM;Validé;Saint Louis;2025-01-23 10:15:00;10000.0;Normal
1016;851601.0;TR206/00146;ATM;Validé;Thiès;2025-01-23 09:30:00;12000.0;Normal
1009;851900.0;TR204/00080;Paiement électronique;Validé;Kolda;2025-01-23 09:00:00;270000.0;Normal
10270;8507102.0;TR211/00135;Paiement électronique;En attente;Thiès;2025-01-22 19:20:00;120000.0;Normal
1039;851039.0;TR217/178;Paiement en ligne;Echoué;Matam;2025-01-22 18:30:00;68000.0;Normal
1019;851901.0;TR207/000071;Paiement électronique;Validé;Dakar;2025-01-22 17:30:00;160000.0;Normal
10280;8501208.0;TR213/00125;Paiement en ligne;En attente;Ziguinchor;2025-01-22 16:00:00;130000.0;Suspect
1041;851041.0;TR219/141;Paiement électronique;Validé;Mbour;2025-01-22 15:30:00;18900.0;Normal
1018;858101.0;TR206/00132;ATM;Echoué;Podor;2025-01-22 14:45:00;300000.0;Suspect
1004;851040.0;TR202/00094;Paiement électronique;En attente;Fatick;2025-01-22 11:16:00;1250000.0;Fraude
1005;851500.0;TR203/0162;Paiement électronique;Validé;Tambacounda;2025-01-22 11:00:00;220000.0;Suspect
1042;852104.0;TR219/085;ATM;Echoué;Saloum;2025-01-22 10:00:00;7000.0;Suspect
1037;851307.0;TR217/101;Paiement électronique;Validé;Diourbel;2025-01-21 16:45:00;790000.0;Normal
10360;8501036.0;TR216/00231;Paiement en ligne;En attente;Diourbel;2025-01-21 16:00:00;430000.0;Suspect
1018;858101.0;TR206/00120;Paiement électronique;Echoué;Bambey;2025-01-21 11:30:00;350000.0;Suspect
1022;851202.0;TR208/3301;ATM;Validé;Mbacké;2025-01-21 10:25:00;18000.0;Normal
1036;851036.0;TR216/0132;Paiement en ligne;Echoué;Kaolack;2025-01-20 17:30:00;35000.0;Suspect
1006;851060.0;TR203/0167;Paiement en ligne;Validé;Bambey;2025-01-20 17:30:00;100000.0;Normal
1002;851020.0;TR201/00143;Paiement en ligne;Echoué;Kolda;2025-01-20 17:00:00;380000.0;Suspect
1002;851020.0;TR201/00125;Paiement en ligne;Echoué;Kolda;2025-01-20 16:45:00;320000.0;Suspect
526;85652.0;TR010/0071;ATM;Validé;Dakar;2025-01-20 16:00:00;11000.0;Normal
100290;85010092.0;TR214/00103;Paiement électronique;Validé;Kaolack;2025-01-20 15:45:00;78000.0;Normal
552;85552.0;TR200/606060;Paiement électronique;Validé;Saint Louis;2025-01-20 15:00:00;145000.0;Suspect
529;85259.0;TR111/0155;ATM;Validé;Dakar;2025-01-20 14:30:00;16000.0;Normal
530;85053.0;TR111/0146;Paiement en ligne;Validé;Kaolack;2025-01-20 14:15:00;950000.0;Normal
1001;851100.0;TR201/00164;Paiement en ligne;Echoué;Dakar;2025-01-20 13:30:00;450000.0;Normal
534;85453.0;TR102/01-20-25;Paiement en ligne;Validé;Thiès;2025-01-20 12:45:00;110000.0;Normal
1016;851601.0;TR206/00112;Paiement en ligne;Echoué;Rufisque;2025-01-20 12:15:00;280000.0;Suspect
10280;8501208.0;TR213/00147;Paiement électronique;Echoué;Thiès;2025-01-20 12:00:00;130000.0;Normal
543;85453.0;TR107/0136;Paiement en ligne;Validé;Kaffrine;2025-01-20 12:00:00;70000.0;Normal
531;85351.0;TR101/00110;ATM;Validé;Kaolack;2025-01-20 12:00:00;3000.0;Normal
531;85351.0;TR101/00122;ATM;Validé;Saint Louis;2025-01-20 12:00:00;2000.0;Normal
1018;858101.0;TR206/00154;ATM;Validé;Kédougou;2025-01-20 11:45:00;18000.0;Normal
532;85253.0;TR101/00148;Paiement en ligne;Validé;Dakar;2025-01-20 11:30:00;13000.0;Normal
532;85253.0;TR101/00136;Paiement en ligne;Validé;Saint Louis;2025-01-20 11:30:00;11000.0;Normal
1015;855101.0;TR205/00095;ATM;Validé;Kaolack;2025-01-20 11:00:00;8000.0;Normal
532;85253.0;TR101/00112;Paiement en ligne;Validé;Ziguinchor;2025-01-20 10:45:00;13000.0;Normal
532;85253.0;TR101/00124;Paiement en ligne;Validé;Kaolack;2025-01-20 10:45:00;16000.0;Normal
527;85257.0;TR011/0087;Paiement électronique;Validé;Tambacounda;2025-01-20 10:30:00;800000.0;Normal
531;85351.0;TR101/00097;Paiement électronique;Echoué;Diourbel;2025-01-20 10:15:00;8000.0;Normal
10360;8501036.0;TR216/00113;ATM;Validé;Kaolack;2025-01-20 10:00:00;14000.0;Normal
543;85453.0;TR107/0117;Paiement électronique;Validé;Sédhiou;2025-01-20 10:00:00;75000.0;Normal
539;85359.0;TR105/0038;ATM;Validé;Thiès;2025-01-20 10:00:00;10000.0;Normal
535;85355.0;TR103/0077;ATM;Validé;Vélingara;2025-01-20 09:30:00;2000.0;Normal
531;85351.0;TR101/00135;Paiement électronique;En attente;Thiès;2025-01-20 09:00:00;5000.0;Normal
531;85351.0;TR101/00147;Paiement électronique;En attente;Ziguinchor;2025-01-20 09:00:00;5000.0;Normal
515;85155.0;TR6/75;ATM;Validé;Ziguinchor;2025-01-20 09:00:00;25000.0;Normal
10260;8510062.0;TR211/00131;ATM;En attente;Ziguinchor;2025-01-20 08:40:00;5000.0;Suspect
1011;851101.0;TR204_1/49;Paiement électronique;Validé;Dakar;2025-01-20 08:30:00;450000.0;Suspect
1020;851002.0;TR207/000126;ATM;Validé;Tambacounda;2025-01-20 06:00:00;25000.0;Suspect
1014;851041.0;TR205/00192;Paiement électronique;Validé;Saint Louis;2025-01-20 01:30:00;350000.0;Normal
10300;8501030.0;TR213/00143;Paiement en ligne;En attente;Louga;2025-01-19 18:15:00;190000.0;Normal
1034;851304.0;TR216/0124;Paiement en ligne;En attente;Dakar;2025-01-19 17:45:00;30000.0;Normal
1003;851300.0;TR202/00058;Paiement électronique;En attente;Diourbel;2025-01-19 12:24:00;1100000.0;Fraude
1017;851071.0;TR206/00128;ATM;Echoué;Kolda;2025-01-19 10:00:00;450000.0;Suspect
10360;8501036.0;TR216/00230;ATM;Validé;Kaolack;2025-01-19 09:00:00;28000.0;Normal
10280;8501208.0;TR213/00159;Paiement électronique;En attente;Thiès;2025-01-18 18:00:00;150000.0;Normal
10280;8501208.0;TR213/00135;Paiement électronique;En attente;Thiès;2025-01-18 18:00:00;140000.0;Normal
10300;8501030.0;TR213/00155;Paiement en ligne;En attente;Louga;2025-01-18 17:45:00;200000.0;Normal
10300;8501030.0;TR213/00131;Paiement en ligne;En attente;Louga;2025-01-18 17:45:00;180000.0;Normal
533;85353.0;TR102/01-18-25;Paiement en ligne;Validé;Touba;2025-01-18 15:00:00;50000.0;Normal
1038;851083.0;TR217/177;ATM;En attente;Kolda;2025-01-18 14:15:00;4200.0;Normal
1010;851001.0;TR204/00079;Paiement en ligne;Validé;Ziguinchor;2025-01-18 14:15:00;90000.0;Normal
1016;851601.0;TR206/00124;ATM;Echoué;Ziguinchor;2025-01-18 12:00:00;320000.0;Suspect
10220;8512020.0;TR209/00100;Paiement électronique;En attente;Saint Louis;2025-01-18 11:30:00;74000.0;Normal
1006;851060.0;TR203/0156;Paiement électronique;Validé;Foundiougne;2025-01-18 10:15:00;150000.0;Normal
10250;8512005.0;TR211/00127;Paiement électronique;Echoué;Saint Louis;2025-01-17 16:50:00;150000.0;Suspect
10290;8510092.0;TR213/00139;ATM;En attente;Kaolack;2025-01-17 16:50:00;11000.0;Normal
10290;8510092.0;TR213/00163;ATM;En attente;Kaolack;2025-01-17 16:50:00;13000.0;Normal
10230;8510320.0;TR209/00104;Paiement en ligne;Validé;Dakar;2025-01-17 16:30:00;60000.0;Normal
1041;851041.0;TR219/084;Paiement en ligne;Validé;Kolda;2025-01-17 15:30:00;15000.0;Normal
529;85259.0;TR111/0151;ATM;Validé;Dakar;2025-01-17 15:15:00;15000.0;Normal
1017;851071.0;TR206/00150;Paiement électronique;Validé;Tambacounda;2025-01-17 15:15:00;800000.0;Normal
1021;851101.0;TR207/000070;Paiement électronique;Validé;Ziguinchor;2025-01-17 14:30:00;110000.0;Normal
528;85852.0;TR011/0090;ATM;En attente;Thiès;2025-01-17 12:00:00;450000.0;Normal
1040;851400.0;TR219/140;ATM;Validé;Bambey;2025-01-17 09:45:00;5600.0;Normal
1039;851039.0;TR217/100;Paiement électronique;Echoué;Matam;2025-01-17 08:00:00;910000.0;Suspect
10240;8541010.0;TR209/00108;Paiement électronique;Validé;Tivaouane;2025-01-16 15:45:00;92000.0;Normal
10350;8501053.0;TR216/00229;Paiement électronique;Validé;Saint Louis;2025-01-16 15:00:00;690000.0;Normal
1035;851053.0;TR216/0128;ATM;Validé;Dakar;2025-01-16 12:45:00;10000.0;Suspect
1024;854101.0;TR208/2189;Paiement électronique;Validé;Oussouye;2025-01-16 11:55:00;750000.0;Normal
1016;851601.0;TR206/00134;ATM;Validé;Thiès;2025-01-16 08:15:00;11000.0;Normal
1001;851100.0;TR201/00086;Paiement électronique;En attente;Diourbel;2025-01-15 17:30:00;15000000.0;Fraude
1004;851040.0;TR202/00093;Paiement en ligne;Validé;Louga;2025-01-15 16:49:00;500000.0;Normal
1012;851021.0;TR204_1/48;ATM;Validé;Kolda;2025-01-15 16:15:00;18000.0;Normal
531;85351.0;TR101/00085;ATM;Validé;Tambacounda;2025-01-15 16:00:00;2500.0;Normal
1005;851500.0;TR203/0161;Paiement en ligne;Validé;Saint Louis;2025-01-15 15:30:00;80000.0;Normal
10280;8501208.0;TR213/00146;Paiement en ligne;Validé;Dakar;2025-01-15 15:15:00;90000.0;Normal
1002;851020.0;TR201/00142;ATM;Validé;Tambacounda;2025-01-15 15:15:00;21000.0;Normal
10270;8507102.0;TR211/00134;ATM;Validé;Dakar;2025-01-15 15:10:00;4000.0;Normal
544;85254.0;TR107/0108;ATM;Validé;Thiès;2025-01-15 15:00:00;25000.0;Normal
544;85254.0;TR107/0115;ATM;Validé;Kebemer;2025-01-15 15:00:00;18000.0;Normal
10350;8501053.0;TR216/00112;Paiement électronique;Validé;Saint Louis;2025-01-15 14:30:00;650000.0;Normal
532;85253.0;TR101/00134;ATM;Validé;Dakar;2025-01-15 14:30:00;2500.0;Normal
532;85253.0;TR101/00146;ATM;Validé;Diourbel;2025-01-15 14:30:00;2500.0;Normal
10290;8510092.0;TR213/00127;ATM;Echoué;Kaolack;2025-01-15 14:15:00;10000.0;Normal
1016;851601.0;TR206/00148;ATM;Echoué;Ziguinchor;2025-01-15 14:15:00;400000.0;Suspect
1002;851020.0;TR201/00124;ATM;Validé;Tambacounda;2025-01-15 14:00:00;18000.0;Normal
532;85253.0;TR101/00123;Paiement électronique;En attente;Tambacounda;2025-01-15 14:00:00;8000.0;Normal
551;85551.0;TR200/323232;Paiement en ligne;Validé;Dakar;2025-01-15 13:45:00;100000.0;Normal
525;85255.0;TR010/0070;ATM;Validé;Kédougou;2025-01-15 13:30:00;3500.0;Normal
536;85653.0;TR103/0076;Paiement électronique;Echoué;Bambey;2025-01-15 13:15:00;1200000.0;Suspect
100300;85001030.0;TR214/00105;Paiement en ligne;Validé;Kolda;2025-01-15 12:30:00;30000.0;Normal
531;85351.0;TR101/00145;Paiement en ligne;Validé;Kaolack;2025-01-15 12:00:00;14000.0;Normal
531;85351.0;TR101/00133;Paiement en ligne;Validé;Ziguinchor;2025-01-15 12:00:00;10000.0;Normal
1019;851901.0;TR207/000125;Paiement électronique;Echoué;Dakar;2025-01-15 11:50:00;250000.0;Normal
532;85253.0;TR101/00091;ATM;Validé;Saint Louis;2025-01-15 11:45:00;3000.0;Normal
540;85054.0;TR105/0036;Paiement électronique;Validé;Tambacounda;2025-01-15 11:30:00;290000.0;Suspect
1001;851100.0;TR201/00163;ATM;Validé;Kolda;2025-01-15 11:00:00;27000.0;Suspect
1037;851307.0;TR217/176;Paiement électronique;Validé;Dakar;2025-01-15 11:00:00;820000.0;Normal
516;85651.0;TR6/74;Paiement électronique;Validé;Thiès;2025-01-15 10:45:00;250000.0;Normal
1014;851041.0;TR205/00093;ATM;Validé;Saint Louis;2025-01-15 10:00:00;5000.0;Normal
1006;851060.0;TR203/0166;ATM;Echoué;Fatick;2025-01-15 10:00:00;5000.0;Suspect
528;85852.0;TR011/0092;Paiement électronique;Echoué;Saint Louis;2025-01-15 10:00:00;9500000.0;Suspect
50321;85458321.0;TR4JKLO3;Paiement électronique;Validé;Dakar;2025-01-15 10:00:00;25500.0;Normal
531;85351.0;TR101/00121;Paiement en ligne;Validé;Thiès;2025-01-15 09:30:00;14000.0;Normal
1014;851041.0;TR205/00191;Paiement en ligne;Validé;Dakar;2025-01-15 01:00:00;85000.0;Normal
10350;8501053.0;TR216/00228;Paiement en ligne;En attente;Kolda;2025-01-14 17:30:00;580000.0;Suspect
1016;851601.0;TR206/00136;ATM;Echoué;Ziguinchor;2025-01-14 13:45:00;350000.0;Suspect
1038;851083.0;TR217/099;ATM;En attente;Kolda;2025-01-14 13:30:00;3200.0;Normal
530;85053.0;TR111/0153;ATM;Validé;Tambacounda;2025-01-14 10:20:00;18000.0;Normal
1023;851032.0;TR208/1067;Paiement en ligne;Echoué;Bignona;2025-01-14 08:30:00;40000.0;Normal
10260;8510062.0;TR211/00130;Paiement en ligne;Validé;Dakar;2025-01-13 17:20:00;65000.0;Normal
10350;8501053.0;TR216/00111;Paiement en ligne;En attente;Kolda;2025-01-13 16:00:00;260000.0;Suspect
1018;858101.0;TR206/00155;Paiement en ligne;En attente;Sédhiou;2025-01-13 14:30:00;480000.0;Suspect
529;85259.0;TR111/0147;ATM;Validé;Dakar;2025-01-13 13:30:00;14000.0;Normal
1040;851400.0;TR219/083;ATM;En attente;Richard Toll;2025-01-13 13:15:00;9000.0;Normal
1009;851900.0;TR204/00078;ATM;Validé;Tambacounda;2025-01-13 11:45:00;4000.0;Normal
1036;851036.0;TR216/0131;Paiement électronique;Validé;Tambacounda;2025-01-13 11:00:00;90000.0;Normal
10290;8510092.0;TR213/00150;Paiement électronique;Validé;Tambacounda;2025-01-13 09:45:00;155000.0;Normal
